Symbol,Date,Open,High,Low,Close,Volume
HDFCBANK,2025-10-07,842.847201,851.383174,834.542009,843.075730,70859506
HDFCBANK,2025-10-08,843.249972,860.582504,834.477107,851.721504,25953393
HDFCBANK,2025-10-09,844.967572,870.745123,838.906924,864.544060,143389419
HDFCBANK,2025-10-10,864.759268,874.830312,852.988753,863.039771,31685173
HDFCBANK,2025-10-13,863.270351,902.994104,852.226810,891.588301,88199544
HDFCBANK,2025-10-14,893.002680,906.934180,881.818979,895.716492,44022462
HDFCBANK,2025-10-15,905.122249,917.201997,846.925922,858.381873,50550901
HDFCBANK,2025-10-16,860.423937,862.936782,852.057371,854.553070,45940737
HDFCBANK,2025-10-17,867.089876,876.678072,846.462981,855.927747,82174213
HDFCBANK,2025-10-20,856.584384,869.403492,826.311058,838.864988,76773085
HDFCBANK,2025-10-21,840.869193,852.762856,826.649118,838.509403,126984846
HDFCBANK,2025-10-22,836.876174,866.579462,824.647968,854.099592,144915348
HDFCBANK,2025-10-23,854.500217,882.287480,841.189671,868.754888,143459748
HDFCBANK,2025-10-24,875.706426,884.871134,870.491755,879.633080,15299476
HDFCBANK,2025-10-27,879.845450,885.540304,856.638842,862.219611,79224043
HDFCBANK,2025-10-28,860.474223,871.969859,840.862747,852.248489,59617518
HDFCBANK,2025-10-29,852.801427,877.031940,841.679788,865.741545,14348218
HDFCBANK,2025-10-30,862.028481,871.778212,846.008460,855.686462,107393600
HDFCBANK,2025-10-31,852.827039,890.498733,846.759672,884.208108,11034672
HDFCBANK,2025-11-03,886.199995,906.550562,861.850306,882.106880,104387922
HDFCBANK,2025-11-04,883.646715,899.397562,845.848203,861.198922,109374364
HDFCBANK,2025-11-05,865.136114,881.844967,823.484817,839.702456,118519062
HDFCBANK,2025-11-06,844.214759,895.218250,832.268597,882.727114,29132811
HDFCBANK,2025-11-07,873.371129,877.770180,859.645109,863.996943,75916706
HDFCBANK,2025-11-10,864.324242,893.439943,851.557003,880.434730,49496551
HDFCBANK,2025-11-11,873.330964,921.975760,850.325490,898.312225,86713204
HDFCBANK,2025-11-12,904.842144,906.666502,893.638614,895.444024,145949128
HDFCBANK,2025-11-13,885.224977,909.791677,879.176603,903.617634,16535895
HDFCBANK,2025-11-14,902.682020,911.696431,888.469883,897.431864,25612805
HDFCBANK,2025-11-17,898.282362,925.474086,889.989965,917.008818,10558645
HDFCBANK,2025-11-18,913.700257,930.257107,904.449118,920.932740,77181168
HDFCBANK,2025-11-19,915.461551,955.947532,902.983245,943.092597,27671188
HDFCBANK,2025-11-20,946.753689,960.314861,922.431055,935.835841,87346283
HDFCBANK,2025-11-21,926.724740,983.179459,918.884215,974.931085,13622251
