Date,Open,High,Low,Close,Volume
2024-01-01,892.0,916.8499755859375,888.0,891.8499755859375,9040913
2024-01-02,895.7000122070312,903.2999877929688,866.7999877929688,886.2000122070312,5242381
2024-01-03,886.2999877929688,910.0,886.2000122070312,899.25,6852189
2024-01-04,903.9000244140625,912.0,895.25,901.5499877929688,4427039
2024-01-05,905.0,923.4500122070312,894.0499877929688,905.9000244140625,9811302
2024-01-08,914.2000122070312,929.0,905.8499755859375,916.5499877929688,9604429
2024-01-09,925.0,926.7000122070312,912.0,918.7999877929688,4254653
2024-01-10,920.0,944.5,907.4000244140625,941.7000122070312,8474409
2024-01-11,949.0,951.7999877929688,938.0,940.2999877929688,6012001
2024-01-12,945.5999755859375,962.0,941.3499755859375,951.2000122070312,6044161
2024-01-15,961.0,976.4500122070312,951.0499877929688,967.4000244140625,6618736
2024-01-16,970.0,971.5,935.1500244140625,949.6500244140625,5464749
2024-01-17,944.9000244140625,950.5,932.0,934.7000122070312,3782327
2024-01-18,935.0999755859375,944.0,870.2999877929688,927.25,6557942
2024-01-19,935.0,988.7999877929688,934.0499877929688,983.7999877929688,14486659
2024-01-23,1045.050048828125,1046.9000244140625,926.6500244140625,935.3499755859375,15704924
2024-01-24,941.5,977.0,909.0999755859375,970.5999755859375,8909650
2024-01-25,975.5499877929688,989.9500122070312,959.0,970.2999877929688,6428039
2024-01-29,983.9000244140625,989.9000244140625,972.6500244140625,981.7999877929688,3870322
2024-01-30,986.3499755859375,986.6500244140625,961.1500244140625,964.0499877929688,2502690
2024-01-31,968.9000244140625,981.9000244140625,965.0,977.2000122070312,2254800
2024-02-01,988.5,993.5,958.0499877929688,963.2999877929688,5130192
2024-02-02,968.9500122070312,986.2999877929688,963.9000244140625,967.5,2803549
2024-02-05,971.9000244140625,972.7999877929688,941.1500244140625,946.6500244140625,3260389
2024-02-06,950.0,968.4000244140625,939.5,965.25,2521842
2024-02-07,969.0,972.5999755859375,948.2999877929688,954.75,1956892
2024-02-08,957.5999755859375,958.5499877929688,941.7999877929688,944.3499755859375,1638646
2024-02-09,949.0999755859375,954.4000244140625,916.0,939.1500244140625,2482688
2024-02-12,941.9500122070312,947.0,894.0,900.0999755859375,3029950
2024-02-13,900.0999755859375,914.7000122070312,877.0,910.4500122070312,3906213
2024-02-14,915.5,934.0,897.2999877929688,929.2000122070312,4480920
2024-02-15,938.4500122070312,968.0,935.2000122070312,951.5,4532823
2024-02-16,957.0,959.8499755859375,937.0999755859375,940.6500244140625,2036667
2024-02-19,942.0,956.75,939.5499877929688,946.9500122070312,2063916
2024-02-20,947.4000244140625,954.9000244140625,944.25,951.9000244140625,1723035
2024-02-21,952.6500244140625,959.5499877929688,922.0999755859375,925.75,2291737
2024-02-22,928.0999755859375,939.25,917.0999755859375,935.6500244140625,1724197
2024-02-23,947.2999877929688,971.0,944.1500244140625,964.8499755859375,7709557
2024-02-26,966.9500122070312,989.9000244140625,964.0,968.4000244140625,7397592
2024-02-27,968.9000244140625,974.0,948.1500244140625,952.75,2829201
2024-02-28,953.0,959.6500244140625,920.0,924.0499877929688,2972449
2024-02-29,923.0,933.9500122070312,912.4000244140625,927.4000244140625,3232361
2024-03-01,934.0,938.0499877929688,927.0,929.2999877929688,1305118
2024-03-04,934.7999877929688,945.8499755859375,923.9500122070312,938.0,2010812
2024-03-05,938.0,941.25,928.6500244140625,935.7999877929688,1167131
2024-03-06,936.0,937.0,911.5499877929688,929.0499877929688,1888149
2024-03-07,931.5999755859375,946.4500122070312,930.1500244140625,937.2000122070312,1565514
2024-03-11,937.2000122070312,961.0,931.0499877929688,938.5999755859375,3587812
2024-03-12,939.0,941.4000244140625,915.5,920.9500122070312,1570749
2024-03-13,925.1500244140625,931.5,869.0,880.6500244140625,4244094
2024-03-14,875.0499877929688,905.3499755859375,862.75,898.75,2731461
2024-03-15,899.0,916.1500244140625,877.0499877929688,912.5,3393550
2024-03-18,912.5,922.9500122070312,904.0,918.9000244140625,1605008
2024-03-19,918.9000244140625,918.9000244140625,900.0,906.4000244140625,1737458
2024-03-20,906.0,916.5,882.7999877929688,901.9000244140625,1978201
2024-03-21,913.0,943.9000244140625,910.2000122070312,934.75,3688075
2024-03-22,938.9000244140625,940.9000244140625,926.5,928.7000122070312,1554947
2024-03-26,928.7000122070312,936.75,920.1500244140625,928.75,1707716
2024-03-27,930.9500122070312,940.2000122070312,926.4000244140625,929.9500122070312,1511283
2024-03-28,933.4000244140625,939.4000244140625,925.0,929.7000122070312,1729773
2024-04-01,930.0499877929688,972.9500122070312,930.0,970.1500244140625,4502891
2024-04-02,970.9500122070312,1012.2999877929688,964.0999755859375,1003.7999877929688,8068586
2024-04-03,1003.0,1037.949951171875,992.0999755859375,1014.6500244140625,7346168
2024-04-04,1020.0,1022.5,994.0499877929688,998.1500244140625,2790135
2024-04-05,998.0,1010.9500122070312,993.8499755859375,1002.9500122070312,1970844
2024-04-08,1005.0,1026.0,998.0,1014.7999877929688,3002278
2024-04-09,1019.6500244140625,1030.9000244140625,1006.0999755859375,1010.4500122070312,2439829
2024-04-10,1014.6500244140625,1029.5,1013.4000244140625,1023.0,2728295
2024-04-12,1022.75,1068.800048828125,1016.8499755859375,1057.6500244140625,10944073
2024-04-15,1044.949951171875,1048.25,1018.9500122070312,1029.5,4729372
2024-04-16,1024.5999755859375,1036.9000244140625,1006.25,1016.4500122070312,2760799
2024-04-18,1022.4000244140625,1033.5,988.0,992.9500122070312,2259164
2024-04-19,990.0,1006.1500244140625,970.5,992.0,3556149
2024-04-22,1004.9500122070312,1008.0499877929688,995.0,1000.0499877929688,1465887
2024-04-23,1005.0,1019.6500244140625,998.7999877929688,1016.2999877929688,1744634
2024-04-24,1023.0,1027.949951171875,1016.8499755859375,1025.3499755859375,1689611
2024-04-25,1030.0,1038.0,1022.5,1027.800048828125,1586884
2024-04-26,1034.300048828125,1059.0,1026.5999755859375,1044.449951171875,3367252
2024-04-29,1052.0,1068.0,1037.6500244140625,1045.25,3571796
2024-04-30,1050.5,1057.699951171875,1034.199951171875,1038.75,1889199
2024-05-02,1038.75,1076.449951171875,1036.800048828125,1056.300048828125,3702221
2024-05-03,1061.199951171875,1075.5999755859375,1041.0,1052.449951171875,2504576
2024-05-06,1055.0,1057.199951171875,1007.1500244140625,1022.2000122070312,3652645
2024-05-07,1025.0,1029.0999755859375,987.25,993.5,2314924
2024-05-08,989.0,1016.0,989.0,1007.4500122070312,1871931
2024-05-09,1009.0,1013.4500122070312,982.7000122070312,986.0999755859375,1962409
2024-05-10,988.3499755859375,1003.9500122070312,983.0,995.5499877929688,1307761
2024-05-13,999.7000122070312,999.7000122070312,973.5,990.1500244140625,1422203
2024-05-14,994.25,1032.550048828125,993.6500244140625,1026.6500244140625,2536531
2024-05-15,1027.050048828125,1039.9000244140625,1020.25,1028.6500244140625,1328038
2024-05-16,1031.0,1044.699951171875,1029.0999755859375,1040.5,1662931
2024-05-17,1041.0999755859375,1100.0,1039.1500244140625,1093.699951171875,6852207
2024-05-21,1109.0,1122.300048828125,1087.550048828125,1115.550048828125,4808902
2024-05-22,1121.0999755859375,1136.9000244140625,1106.050048828125,1126.0,3646850
2024-05-23,1129.0,1138.9000244140625,1116.5999755859375,1122.0999755859375,2440066
2024-05-24,1124.0,1124.0,1107.0,1109.050048828125,2116118
2024-05-27,1116.0999755859375,1119.75,1095.050048828125,1101.25,2681079
2024-05-28,1105.0,1107.5999755859375,1077.75,1083.0999755859375,2907482
2024-05-29,1046.0999755859375,1061.300048828125,1027.1500244140625,1042.9000244140625,7214522
2024-05-30,1042.9000244140625,1053.8499755859375,1020.5,1025.3499755859375,2329426
2024-05-31,1035.4000244140625,1037.75,998.0,1020.3499755859375,4783658
2024-06-03,1084.949951171875,1084.949951171875,1038.199951171875,1054.25,3598463
2024-06-04,1056.0,1056.0,845.2999877929688,912.0499877929688,11464052
2024-06-05,945.0,945.0,858.0,918.9000244140625,8798437
2024-06-06,942.9000244140625,984.8499755859375,925.7000122070312,973.2999877929688,5451521
2024-06-07,978.0,982.5999755859375,965.0,977.75,2476737
2024-06-10,990.0,990.8499755859375,972.5999755859375,977.9000244140625,2242074
2024-06-11,985.0999755859375,1036.0,982.5999755859375,1020.0499877929688,8695834
2024-06-12,1027.0,1034.0,1015.0999755859375,1026.949951171875,4385975
2024-06-13,1037.0,1037.0,1013.5,1017.5499877929688,1996303
2024-06-14,1024.0,1027.699951171875,1014.6500244140625,1018.2000122070312,1511522
2024-06-18,1019.0,1038.6500244140625,1018.7000122070312,1032.4000244140625,2486989
2024-06-19,1035.8499755859375,1037.0,1002.9000244140625,1014.6500244140625,2550530
2024-06-20,1017.3499755859375,1027.0,1007.2000122070312,1015.5999755859375,1694557
2024-06-21,1018.7999877929688,1046.0,1008.2000122070312,1012.2999877929688,5664314
2024-06-24,1020.0,1037.949951171875,1007.5999755859375,1010.25,4131226
2024-06-25,1014.0,1018.7999877929688,987.0999755859375,995.0999755859375,3163136
2024-06-26,1000.0,1002.75,988.0,990.4500122070312,3137677
2024-06-27,991.0,1002.3499755859375,983.3499755859375,991.25,2402997
2024-06-28,995.7000122070312,1007.5,988.0,989.25,3777772
2024-07-01,990.0,999.25,989.0499877929688,992.8499755859375,1815971
2024-07-02,995.2000122070312,1014.5,991.0499877929688,1006.5999755859375,3155918
2024-07-03,1007.4000244140625,1010.0,1001.0999755859375,1004.25,1904860
2024-07-04,1009.7999877929688,1016.9000244140625,1002.5999755859375,1006.0499877929688,1498265
2024-07-05,1005.0,1034.449951171875,1003.0499877929688,1026.199951171875,4670941
2024-07-08,1030.0,1051.75,1027.800048828125,1045.5999755859375,6083179
2024-07-09,1052.8499755859375,1055.0,1023.2000122070312,1027.9000244140625,2638133
2024-07-10,1032.449951171875,1037.300048828125,993.75,1021.8499755859375,2295822
2024-07-11,1030.25,1041.800048828125,1026.949951171875,1029.4000244140625,2328069
2024-07-12,1031.0,1059.449951171875,1022.25,1043.050048828125,4997763
2024-07-15,1046.8499755859375,1047.4000244140625,1035.050048828125,1037.9000244140625,3052646
2024-07-16,1042.0,1044.949951171875,1024.5,1029.0,1242326
2024-07-18,1027.8499755859375,1028.75,1004.0999755859375,1010.25,1850857
2024-07-19,1012.6500244140625,1014.9500122070312,985.0,989.0999755859375,3195475
2024-07-22,990.0,1011.9500122070312,971.0,1006.25,2819852
2024-07-23,1015.7000122070312,1015.7000122070312,940.0499877929688,972.9000244140625,5290749
2024-07-24,974.7000122070312,988.25,968.6500244140625,974.2000122070312,2446557
2024-07-25,970.9500122070312,972.5999755859375,954.0,969.1500244140625,1573736
2024-07-26,976.0,991.3499755859375,972.9000244140625,984.1500244140625,1990326
2024-07-29,990.0,1000.7999877929688,985.2999877929688,991.4500122070312,1761942
2024-07-30,994.5,998.0,988.4500122070312,989.5999755859375,979935
2024-07-31,990.0,994.4000244140625,985.5,987.6500244140625,994897
2024-08-01,989.9000244140625,995.0,976.0,980.5,998861
2024-08-02,972.75,976.5,963.6500244140625,966.4000244140625,1102487
2024-08-05,945.0,954.0,921.1500244140625,925.5,2629317
2024-08-06,925.5,946.75,915.9000244140625,919.1500244140625,1708694
2024-08-07,927.8499755859375,934.0999755859375,921.2999877929688,930.8499755859375,1174614
2024-08-08,930.8499755859375,939.9000244140625,923.5499877929688,925.7999877929688,1150268
2024-08-09,932.5499877929688,935.6500244140625,926.0,926.9500122070312,569574
2024-08-12,926.4500122070312,933.25,915.0499877929688,924.4000244140625,1267706
2024-08-13,929.75,931.4500122070312,911.2999877929688,918.4500122070312,1973513
2024-08-14,928.0,929.0,906.2999877929688,909.8499755859375,1764250
2024-08-16,914.9000244140625,925.9000244140625,911.2999877929688,924.75,908032
2024-08-19,926.0,940.7000122070312,925.1500244140625,937.7000122070312,1252866
2024-08-20,940.0499877929688,942.4000244140625,926.4000244140625,931.0,1191423
2024-08-21,930.0499877929688,938.7000122070312,927.75,934.7999877929688,943091
